object alloc, Thread is main, class is Landroid/util/DisplayMetrics;, size is 64, tag is 177 
object alloc, Thread is main, class is Landroid/view/DisplayAdjustments;, size is 16, tag is 178 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 179 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 180 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 181 
object alloc, Thread is main, class is Landroid/content/res/MiuiConfiguration;, size is 24, tag is 182 
object alloc, Thread is main, class is Ljava/lang/ref/WeakReference;, size is 24, tag is 183 
object alloc, Thread is main, class is Landroid/view/DisplayInfo;, size is 160, tag is 184 
object alloc, Thread is main, class is [I, size is 16, tag is 185 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 186 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 187 
object alloc, Thread is main, class is Landroid/graphics/Region;, size is 16, tag is 188 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 189 
object alloc, Thread is main, class is Landroid/view/DisplayCutout;, size is 16, tag is 190 
object alloc, Thread is main, class is [Landroid/view/Display$Mode;, size is 16, tag is 191 
object alloc, Thread is main, class is Landroid/view/Display$Mode;, size is 24, tag is 192 
object alloc, Thread is main, class is [I, size is 24, tag is 193 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 194 
object alloc, Thread is main, class is Landroid/view/Display$HdrCapabilities;, size is 24, tag is 195 
object alloc, Thread is main, class is [I, size is 16, tag is 196 
object alloc, Thread is main, class is [I, size is 24, tag is 197 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 198 
object alloc, Thread is main, class is Ljava/util/Locale;, size is 32, tag is 199 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 200 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 201 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 202 
object alloc, Thread is main, class is [C, size is 48, tag is 203 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 204 
object alloc, Thread is main, class is Landroid/content/res/Resources$Theme;, size is 16, tag is 205 
object alloc, Thread is main, class is Landroid/content/res/ResourcesImpl$ThemeImpl;, size is 32, tag is 206 
object alloc, Thread is main, class is Ljava/lang/ref/FinalizerReference;, size is 40, tag is 207 
object alloc, Thread is main, class is Landroid/content/res/Resources$ThemeKey;, size is 24, tag is 208 
object alloc, Thread is main, class is Ljava/lang/ref/WeakReference;, size is 24, tag is 209 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 56, tag is 210 
object alloc, Thread is main, class is [I, size is 32, tag is 211 
object alloc, Thread is main, class is [Z, size is 16, tag is 212 
object alloc, Thread is main, class is Landroid/app/ContextImpl;, size is 128, tag is 213 
object alloc, Thread is main, class is Ljava/lang/Object;, size is 8, tag is 214 
object alloc, Thread is main, class is [Ljava/lang/Object;, size is 352, tag is 215 
object alloc, Thread is main, class is [I, size is 352, tag is 216 
object alloc, Thread is main, class is Landroid/app/ContextImpl$ApplicationContentResolver;, size is 32, tag is 217 
object alloc, Thread is main, class is Ljava/util/Random;, size is 24, tag is 218 
object alloc, Thread is main, class is Ljava/util/concurrent/atomic/AtomicLong;, size is 16, tag is 219 
object alloc, Thread is main, class is Landroid/content/res/ResourcesKey;, size is 40, tag is 220 
object alloc, Thread is main, class is Landroid/content/res/Configuration;, size is 120, tag is 221 
object alloc, Thread is main, class is Landroid/app/WindowConfiguration;, size is 24, tag is 222 
object alloc, Thread is main, class is Landroid/graphics/Rect;, size is 24, tag is 223 
